,overall,pace,shooting,passing,dribbling,defending,physic
0,94,87.0,92.0,92.0,96.0,39.0,66.0
1,93,90.0,93.0,82.0,89.0,35.0,78.0
2,92,91.0,85.0,87.0,95.0,32.0,58.0
4,91,91.0,83.0,86.0,94.0,35.0,66.0
5,91,76.0,86.0,92.0,86.0,61.0,78.0
7,90,77.0,60.0,70.0,71.0,90.0,86.0
8,90,74.0,76.0,89.0,89.0,72.0,66.0
9,90,93.0,86.0,81.0,89.0,45.0,74.0
10,89,96.0,84.0,78.0,90.0,39.0,75.0
11,89,71.0,28.0,54.0,67.0,89.0,87.0
12,89,70.0,91.0,79.0,81.0,47.0,83.0
15,89,78.0,65.0,77.0,81.0,87.0,83.0
16,89,68.0,46.0,58.0,60.0,90.0,82.0
17,89,80.0,90.0,77.0,88.0,33.0,74.0
18,89,72.0,68.0,75.0,73.0,87.0,85.0
19,89,73.0,89.0,80.0,84.0,51.0,84.0
20,89,77.0,87.0,74.0,85.0,41.0,82.0
21,89,42.0,62.0,80.0,80.0,85.0,80.0
22,89,81.0,86.0,84.0,89.0,57.0,72.0
23,88,83.0,82.0,84.0,90.0,43.0,64.0
24,88,74.0,81.0,86.0,85.0,66.0,86.0
26,88,93.0,79.0,78.0,89.0,45.0,57.0
27,88,73.0,81.0,90.0,84.0,53.0,63.0
29,88,56.0,61.0,72.0,68.0,88.0,80.0
33,88,65.0,74.0,88.0,89.0,52.0,57.0
34,88,75.0,86.0,72.0,79.0,55.0,83.0
35,88,60.0,48.0,64.0,61.0,89.0,83.0
36,88,45.0,80.0,90.0,81.0,70.0,69.0
37,88,85.0,88.0,84.0,87.0,45.0,66.0
38,88,94.0,85.0,75.0,80.0,37.0,69.0
39,88,94.0,83.0,77.0,89.0,44.0,74.0
40,87,64.0,50.0,71.0,68.0,88.0,82.0
41,87,81.0,76.0,83.0,92.0,51.0,67.0
42,87,62.0,72.0,75.0,72.0,85.0,89.0
43,87,88.0,86.0,80.0,87.0,42.0,68.0
44,87,66.0,74.0,79.0,78.0,84.0,79.0
45,87,62.0,54.0,72.0,72.0,87.0,78.0
46,87,76.0,82.0,80.0,86.0,39.0,77.0
47,87,63.0,63.0,74.0,72.0,87.0,79.0
48,87,88.0,83.0,80.0,91.0,35.0,53.0
49,87,51.0,58.0,76.0,72.0,89.0,76.0
50,87,64.0,55.0,72.0,66.0,88.0,79.0
